"fs_country","fs_league","matched","score","sb_country","sb_league","reason"
"Argentina","Primera B",TRUE,1,"Argentina","Primera B","exact"
"Argentina","Primera C",TRUE,1,"Argentina","Primera C","exact"
"Argentina","Primera Nacional",TRUE,1,"Argentina","Primera Nacional","exact"
"Austria","2. Liga",TRUE,1,"Austria","2. Liga","exact"
"Austria","Bundesliga",TRUE,1,"Austria","Bundesliga","exact"
"Austria","Bundesliga Women",TRUE,0.875,"Austria","Bundesliga","fuzzy (0.88)"
"Belgium","Challenger Pro League",TRUE,1,"Belgium","Challenger Pro League","exact"
"Belgium","National Division 1 - ACFF",TRUE,0.832,"Belgium","Nationale 1 ACFF","fuzzy (0.83)"
"Belgium","Pro League U21",TRUE,0.905,"Belgium","Pro League","fuzzy (0.9)"
"Bolivia","Division Profesional",TRUE,1,"Bolivia","Division Profesional","exact"
"Brazil","Brasileiro A2 Women",TRUE,0.814,"Brazil","Brasileiro Serie A","fuzzy (0.81)"
"Brazil","Brasileiro U17",TRUE,0.799,"Brazil","Brasileiro Serie A","fuzzy (0.8)"
"Brazil","Brasileiro U20",TRUE,0.799,"Brazil","Brasileiro Serie A","fuzzy (0.8)"
"Brazil","Brasileiro Women",TRUE,0.806,"Brazil","Brasileiro Serie A","fuzzy (0.81)"
"Bulgaria","Vtora liga",TRUE,1,"Bulgaria","Vtora Liga","exact"
"Canada","Canadian Premier League",TRUE,1,"Canada","Canadian Premier League","exact"
"Chile","Primera Division Women",TRUE,1,"Chile","Primera Division, Women","exact"
"Colombia","Liga Women",TRUE,0.763,"Colombia","Liga Femenina","fuzzy (0.76)"
"Costa Rica","Liga de Ascenso",FALSE,0.553,NA,NA,"league_below_threshold (closest=Primera Division score=0.55)"
"Costa Rica","Primera Division",TRUE,1,"Costa Rica","Primera Division","exact"
"Croatia","1. HNL Women",TRUE,0.758,"Croatia","HNL","fuzzy (0.76)"
"Croatia","HNL",TRUE,1,"Croatia","HNL","exact"
"Czech Republic","1. Liga Women",TRUE,0.833,"Czechia","1. Liga","fuzzy (0.83)"
"Czech Republic","2. Liga Women",TRUE,0.75,"Czechia","1. Liga","fuzzy (0.75)"
"Denmark","1st Division",TRUE,0.844,"Denmark","1. Division","fuzzy (0.84)"
"Denmark","2nd Division",TRUE,1,"Denmark","2nd Division","exact"
"Denmark","3rd Division",TRUE,0.889,"Denmark","2nd Division","fuzzy (0.89)"
"Denmark","Superliga",TRUE,1,"Denmark","Superliga","exact"
"Egypt","Premier League",TRUE,1,"Egypt","Premier League","exact"
"England","Championship",TRUE,1,"England","Championship","exact"
"England","League One",TRUE,1,"England","League One","exact"
"England","League Two",TRUE,1,"England","League Two","exact"
"England","National League",TRUE,1,"England","National League","exact"
